Count,Name,BLDG_CH,BLDG_NUM,CITY_CODE,Layer,NUM_APTS_C,NUM_FLOORS,Position X,Position Y,Position Z,STREET_COD,STRT_TYPE,Closed,Length,Area
1,MText,,,,chelkot numbers,,,,,,,,,,
1,MText,,,,chelkot numbers,,,,,,,,,,
1,MText,,,,chelkot numbers,,,,,,,,,,
1,MText,,,,chelkot numbers,,,,,,,,,,
1,MText,,,,chelkot numbers,,,,,,,,,,
1,MText,,,,chelkot numbers,,,,,,,,,,
1,MText,,,,chelkot numbers,,,,,,,,,,
1,MText,,,,chelkot numbers,,,,,,,,,,
1,MText,,,,chelkot numbers,,,,,,,,,,
1,MText,,,,chelkot numbers,,,,,,,,,,
1,MText,,,,chelkot numbers,,,,,,,,,,
1,MText,,,,chelkot numbers,,,,,,,,,,
1,MText,,,,chelkot numbers,,,,,,,,,,
1,Polyline,,,,chelkot lines,,,,,,,,-1,96.7824,478.1363
1,Polyline,,,,chelkot lines,,,,,,,,-1,101.2226,489.8967
1,Polyline,,,,chelkot lines,,,,,,,,-1,92.8129,391.3534
1,Polyline,,,,chelkot lines,,,,,,,,-1,97.6840,500.9704
1,Polyline,,,,chelkot lines,,,,,,,,-1,426.9675,323.8882
1,Polyline,,,,chelkot lines,,,,,,,,-1,153.7411,1217.0888
1,Polyline,,,,chelkot lines,,,,,,,,-1,141.7038,215.5579
1,Polyline,,,,chelkot lines,,,,,,,,-1,127.5824,870.3152
1,Polyline,,,,chelkot lines,,,,,,,,-1,107.4880,587.8664
1,Polyline,,,,chelkot lines,,,,,,,,-1,95.7432,471.1904
1,Polyline,,,,chelkot lines,,,,,,,,-1,164.9814,1473.0106
1,Polyline,,,,chelkot lines,,,,,,,,-1,200.0922,1802.2051
1,Polyline,,,,chelkot lines,,,,,,,,-1,76.5998,158.1528
1,Polyline,,,,chelkot lines,,,,,,,,-1,71.9609,91.5891
1,Polyline,,,,chelkot lines,,,,,,,,-1,122.2585,809.3564
1,Polyline,,,,chelkot lines,,,,,,,,-1,95.4763,464.3333
1,Polyline,,,,chelkot lines,,,,,,,,-1,96.7218,486.9371
1,Polyline,,,,chelkot lines,,,,,,,,-1,295.6472,2346.2440
1,Polyline,,,,chelkot lines,,,,,,,,-1,162.0514,1417.6328
1,Polyline,,,,chelkot lines,,,,,,,,-1,104.4230,152.6430
1,Polyline,,,,chelkot lines,,,,,,,,-1,135.2462,917.2309
1,Polyline,,,,chelkot lines,,,,,,,,-1,205.3073,1501.6738
1,Polyline,,,,chelkot lines,,,,,,,,-1,136.3686,804.6760
1,Polyline,,,,chelkot lines,,,,,,,,-1,141.0695,1218.5559
1,Polyline,,,,chelkot lines,,,,,,,,-1,129.2422,902.0338
1,Polyline,,,,chelkot lines,,,,,,,,-1,134.5600,1060.6098
1,Polyline,,,,chelkot lines,,,,,,,,-1,444.9038,2356.3590
1,Polyline,,,,chelkot lines,,,,,,,,-1,148.5742,1150.5862
1,Polyline,,,,chelkot lines,,,,,,,,-1,141.6605,1231.6979
1,Polyline,,,,chelkot lines,,,,,,,,-1,194.5413,2098.5609
1,Polyline,,,,chelkot lines,,,,,,,,-1,164.2201,1278.8315
1,Polyline,,,,chelkot lines,,,,,,,,-1,124.5736,198.7683
1,Polyline,,,,chelkot lines,,,,,,,,-1,139.2049,1002.6325
1,Polyline,,,,chelkot lines,,,,,,,,-1,174.8992,1429.4446
1,Polyline,,,,chelkot lines,,,,,,,,-1,136.3830,313.7767
1,Polyline,,,,chelkot lines,,,,,,,,-1,139.1519,1014.5068
1,Polyline,,,,chelkot lines,,,,,,,,-1,152.4132,160.0254
1,Polyline,,,,chelkot lines,,,,,,,,-1,132.6008,940.4740
1,Polyline,,,,chelkot lines,,,,,,,,-1,183.5427,2069.3146
1,Polyline,,,,chelkot lines,,,,,,,,-1,52.9033,112.1919
1,Polyline,,,,chelkot lines,,,,,,,,-1,166.8118,1498.9815
1,Polyline,,,,chelkot lines,,,,,,,,-1,100.6312,476.1418
1,Polyline,,,,chelkot lines,,,,,,,,-1,96.0361,463.5224
1,Polyline,,,,chelkot lines,,,,,,,,-1,99.4366,488.3572
1,Polyline,,,,chelkot lines,,,,,,,,-1,97.5340,592.8304
1,Polyline,,,,chelkot lines,,,,,,,,-1,95.6298,486.0740
1,Polyline,,,,chelkot lines,,,,,,,,-1,97.8901,483.0915
1,Polyline,,,,chelkot lines,,,,,,,,-1,97.7796,481.0433
1,Polyline,,,,chelkot lines,,,,,,,,-1,98.2016,491.2556
1,Polyline,,,,chelkot lines,,,,,,,,-1,97.1433,481.5562
1,Polyline,,,,chelkot lines,,,,,,,,-1,97.2674,479.9609
1,Polyline,,,,chelkot lines,,,,,,,,-1,114.9185,771.0510
1,Polyline,,,,chelkot lines,,,,,,,,-1,101.1176,640.9679
1,Polyline,,,,chelkot lines,,,,,,,,-1,182.1031,1737.6854
1,Polyline,,,,chelkot lines,,,,,,,,-1,177.1326,1948.6799
1,Polyline,,,,chelkot lines,,,,,,,,-1,60.2143,71.7552
1,Polyline,,,,chelkot lines,,,,,,,,-1,27.8161,33.7245
1,Polyline,,,,chelkot lines,,,,,,,,-1,57.7659,76.3950
1,Polyline,,,,chelkot lines,,,,,,,,-1,95.9818,582.6122
1,Polyline,,,,chelkot lines,,,,,,,,-1,147.0563,1255.3286
1,Polyline,,,,chelkot lines,,,,,,,,-1,83.9488,404.2126
1,Polyline,,,,chelkot lines,,,,,,,,-1,108.4019,349.3362
1,Polyline,,,,chelkot lines,,,,,,,,-1,53.1175,97.0064
1,Polyline,,,,chelkot lines,,,,,,,,-1,110.4069,740.2417
1,Polyline,,,,chelkot lines,,,,,,,,-1,166.5768,1679.5175
1,Polyline,,,,chelkot lines,,,,,,,,-1,172.1567,1616.4095
1,Polyline,,,,chelkot lines,,,,,,,,-1,17.6881,14.4228
1,Polyline,,,,chelkot lines,,,,,,,,-1,99.5851,538.3403
1,Polyline,,,,chelkot lines,,,,,,,,-1,169.5925,1545.3667
1,Polyline,,,,chelkot lines,,,,,,,,-1,137.0395,1136.2331
1,Polyline,,,,chelkot lines,,,,,,,,-1,191.3650,2081.5718
1,Polyline,,,,chelkot lines,,,,,,,,-1,99.8390,509.2576
1,Polyline,,,,chelkot lines,,,,,,,,-1,99.6677,504.3869
1,Polyline,,,,chelkot lines,,,,,,,,-1,99.6234,511.7436
1,Polyline,,,,chelkot lines,,,,,,,,-1,97.9518,484.2796
1,Polyline,,,,chelkot lines,,,,,,,,-1,95.7270,469.4871
1,Polyline,,,,chelkot lines,,,,,,,,-1,128.4691,1015.6705
1,Polyline,,,,chelkot lines,,,,,,,,-1,431.5591,1497.4019
1,Polyline,,,,chelkot lines,,,,,,,,-1,145.1789,1314.9048
1,Polyline,,,,chelkot lines,,,,,,,,-1,100.3620,629.1326
1,Polyline,,,,chelkot lines,,,,,,,,-1,67.4108,85.1269
1,MText,,,,chelkot numbers,,,,,,,,,,
1,MText,,,,chelkot numbers,,,,,,,,,,
1,MText,,,,chelkot numbers,,,,,,,,,,
1,MText,,,,chelkot numbers,,,,,,,,,,
1,MText,,,,chelkot numbers,,,,,,,,,,
1,MText,,,,chelkot numbers,,,,,,,,,,
1,MText,,,,chelkot numbers,,,,,,,,,,
1,MText,,,,chelkot numbers,,,,,,,,,,
1,MText,,,,chelkot numbers,,,,,,,,,,
1,MText,,,,chelkot numbers,,,,,,,,,,
1,MText,,,,chelkot numbers,,,,,,,,,,
1,MText,,,,chelkot numbers,,,,,,,,,,
1,MText,,,,chelkot numbers,,,,,,,,,,
1,MText,,,,chelkot numbers,,,,,,,,,,
1,MText,,,,chelkot numbers,,,,,,,,,,
1,MText,,,,chelkot numbers,,,,,,,,,,
1,MText,,,,chelkot numbers,,,,,,,,,,
1,MText,,,,chelkot numbers,,,,,,,,,,
1,MText,,,,chelkot numbers,,,,,,,,,,
1,MText,,,,chelkot numbers,,,,,,,,,,
1,MText,,,,chelkot numbers,,,,,,,,,,
1,MText,,,,chelkot numbers,,,,,,,,,,
1,MText,,,,chelkot numbers,,,,,,,,,,
1,MText,,,,chelkot numbers,,,,,,,,,,
1,MText,,,,chelkot numbers,,,,,,,,,,
1,MText,,,,chelkot numbers,,,,,,,,,,
1,MText,,,,chelkot numbers,,,,,,,,,,
1,MText,,,,chelkot numbers,,,,,,,,,,
1,MText,,,,chelkot numbers,,,,,,,,,,
1,MText,,,,chelkot numbers,,,,,,,,,,
1,MText,,,,chelkot numbers,,,,,,,,,,
1,MText,,,,chelkot numbers,,,,,,,,,,
1,MText,,,,chelkot numbers,,,,,,,,,,
1,MText,,,,chelkot numbers,,,,,,,,,,
